-0.20,    -0.693058,     0.550463
-0.19,    -0.696898,     0.523086
-0.18,    -0.697268,     0.494992
-0.17,    -0.693976,     0.466314
-0.16,    -0.686851,     0.437196
-0.15,    -0.675753,     0.407796
-0.14,    -0.660566,     0.378282
-0.13,    -0.641208,     0.348833
-0.12,    -0.617633,     0.319637
-0.11,    -0.589830,     0.290891
-0.10,    -0.557824,     0.262800
-0.09,    -0.521682,     0.235581
-0.08,    -0.481509,     0.209458
-0.07,    -0.437452,     0.184675
-0.06,    -0.389695,     0.161495
-0.05,    -0.338463,     0.140209
-0.04,    -0.284016,     0.121149
-0.03,    -0.226651,     0.104689
-0.02,    -0.166697,     0.091227
-0.01,    -0.104514,     0.081108
0.00,    -0.040485,     0.074476
0.01,     0.024981,     0.071103
0.02,     0.091459,     0.070345
0.03,     0.158511,     0.071324
0.04,     0.225689,     0.073178
0.05,     0.292541,     0.075219
0.06,     0.358617,     0.076972
0.07,     0.423474,     0.078145
0.08,     0.486677,     0.078582
0.09,     0.547809,     0.078231
0.10,     0.606473,     0.077111
0.11,     0.662295,     0.075295
0.12,     0.714931,     0.072895
0.13,     0.764066,     0.070057
0.14,     0.809421,     0.066950
0.15,     0.850750,     0.063758
0.16,     0.887849,     0.060677
0.17,     0.920548,     0.057897
0.18,     0.948721,     0.055591
0.19,     0.972277,     0.053891
0.20,     0.991166,     0.052871
0.21,     1.005373,     0.052532
0.22,     1.014920,     0.052809
0.23,     1.019860,     0.053581
0.24,     1.020279,     0.054700
0.25,     1.016287,     0.056012
0.26,     1.008020,     0.057374
0.27,     0.995634,     0.058669
0.28,     0.979302,     0.059801
0.29,     0.959212,     0.060700
0.30,     0.935560,     0.061322
0.31,     0.908549,     0.061639
0.32,     0.878387,     0.061643
0.33,     0.845281,     0.061339
0.34,     0.809437,     0.060747
0.35,     0.771057,     0.059896
0.36,     0.730335,     0.058828
0.37,     0.687459,     0.057594
0.38,     0.642610,     0.056258
0.39,     0.595959,     0.054892
0.40,     0.547665,     0.053578
0.41,     0.497883,     0.052405
0.42,     0.446757,     0.051467
0.43,     0.394424,     0.050852
0.44,     0.341016,     0.050632
0.45,     0.286662,     0.050861
0.46,     0.231485,     0.051555
0.47,     0.175610,     0.052698
0.48,     0.119162,     0.054236
0.49,     0.062270,     0.056090
0.50,     0.005067,     0.058159
0.51,    -0.052308,     0.060334
0.52,    -0.109707,     0.062502
0.53,    -0.166973,     0.064557
0.54,    -0.223939,     0.066401
0.55,    -0.280429,     0.067948
0.56,    -0.336253,     0.069128
0.57,    -0.391211,     0.069885
0.58,    -0.445095,     0.070185
0.59,    -0.497684,     0.070009
0.60,    -0.548750,     0.069364
0.61,    -0.598058,     0.068276
0.62,    -0.645368,     0.066796
0.63,    -0.690436,     0.065000
0.64,    -0.733019,     0.062988
0.65,    -0.772873,     0.060887
0.66,    -0.809762,     0.058843
0.67,    -0.843456,     0.057014
0.68,    -0.873734,     0.055563
0.69,    -0.900389,     0.054632
0.70,    -0.923231,     0.054325
0.71,    -0.942088,     0.054687
0.72,    -0.956807,     0.055693
0.73,    -0.967263,     0.057262
0.74,    -0.973351,     0.059263
0.75,    -0.974999,     0.061548
0.76,    -0.972159,     0.063963
0.77,    -0.964817,     0.066369
0.78,    -0.952989,     0.068642
0.79,    -0.936721,     0.070684
0.80,    -0.916092,     0.072419
0.81,    -0.891212,     0.073795
0.82,    -0.862223,     0.074778
0.83,    -0.829295,     0.075353
0.84,    -0.792629,     0.075521
0.85,    -0.752450,     0.075292
0.86,    -0.709010,     0.074687
0.87,    -0.662585,     0.073733
0.88,    -0.613467,     0.072464
0.89,    -0.561972,     0.070918
0.90,    -0.508425,     0.069140
0.91,    -0.453168,     0.067189
0.92,    -0.396548,     0.065146
0.93,    -0.338919,     0.063129
0.94,    -0.280640,     0.061311
0.95,    -0.222065,     0.059940
0.96,    -0.163548,     0.059352
0.97,    -0.105434,     0.059958
0.98,    -0.048059,     0.062196
0.99,     0.008254,     0.066443
1.00,     0.063197,     0.072940
1.01,     0.116479,     0.081762
1.02,     0.167829,     0.092863
1.03,     0.217000,     0.106119
1.04,     0.263765,     0.121384
1.05,     0.307925,     0.138506
1.06,     0.349306,     0.157337
1.07,     0.387759,     0.177735
1.08,     0.423166,     0.199557
1.09,     0.455433,     0.222660
1.10,     0.484495,     0.246899
1.11,     0.510315,     0.272123
1.12,     0.532881,     0.298177
1.13,     0.552207,     0.324905
1.14,     0.568331,     0.352146
1.15,     0.581315,     0.379738
1.16,     0.591242,     0.407522
1.17,     0.598213,     0.435338
1.18,     0.602348,     0.463033
1.19,     0.603784,     0.490459
1.20,     0.602670,     0.517474
